,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
0,Alkoholunfälle,insgesamt,2020,Summe,430.0
1,Alkoholunfälle,insgesamt,2020,202001,28.0
2,Alkoholunfälle,insgesamt,2020,202002,40.0
3,Alkoholunfälle,insgesamt,2020,202003,27.0
4,Alkoholunfälle,insgesamt,2020,202004,26.0
5,Alkoholunfälle,insgesamt,2020,202005,40.0
6,Alkoholunfälle,insgesamt,2020,202006,49.0
7,Alkoholunfälle,insgesamt,2020,202007,58.0
8,Alkoholunfälle,insgesamt,2020,202008,46.0
9,Alkoholunfälle,insgesamt,2020,202009,46.0
10,Alkoholunfälle,insgesamt,2020,202010,34.0
11,Alkoholunfälle,insgesamt,2020,202011,23.0
12,Alkoholunfälle,insgesamt,2020,202012,13.0
13,Alkoholunfälle,insgesamt,2019,Summe,434.0
14,Alkoholunfälle,insgesamt,2019,201901,22.0
15,Alkoholunfälle,insgesamt,2019,201902,28.0
16,Alkoholunfälle,insgesamt,2019,201903,34.0
17,Alkoholunfälle,insgesamt,2019,201904,36.0
18,Alkoholunfälle,insgesamt,2019,201905,39.0
19,Alkoholunfälle,insgesamt,2019,201906,40.0
20,Alkoholunfälle,insgesamt,2019,201907,48.0
21,Alkoholunfälle,insgesamt,2019,201908,31.0
22,Alkoholunfälle,insgesamt,2019,201909,47.0
23,Alkoholunfälle,insgesamt,2019,201910,45.0
24,Alkoholunfälle,insgesamt,2019,201911,29.0
25,Alkoholunfälle,insgesamt,2019,201912,35.0
26,Alkoholunfälle,insgesamt,2018,Summe,398.0
27,Alkoholunfälle,insgesamt,2018,201801,22.0
28,Alkoholunfälle,insgesamt,2018,201802,24.0
29,Alkoholunfälle,insgesamt,2018,201803,32.0
30,Alkoholunfälle,insgesamt,2018,201804,25.0
31,Alkoholunfälle,insgesamt,2018,201805,34.0
32,Alkoholunfälle,insgesamt,2018,201806,39.0
33,Alkoholunfälle,insgesamt,2018,201807,51.0
34,Alkoholunfälle,insgesamt,2018,201808,40.0
35,Alkoholunfälle,insgesamt,2018,201809,36.0
36,Alkoholunfälle,insgesamt,2018,201810,43.0
37,Alkoholunfälle,insgesamt,2018,201811,31.0
38,Alkoholunfälle,insgesamt,2018,201812,21.0
39,Alkoholunfälle,insgesamt,2017,Summe,409.0
40,Alkoholunfälle,insgesamt,2017,201701,19.0
41,Alkoholunfälle,insgesamt,2017,201702,22.0
42,Alkoholunfälle,insgesamt,2017,201703,36.0
43,Alkoholunfälle,insgesamt,2017,201704,26.0
44,Alkoholunfälle,insgesamt,2017,201705,29.0
45,Alkoholunfälle,insgesamt,2017,201706,41.0
46,Alkoholunfälle,insgesamt,2017,201707,52.0
47,Alkoholunfälle,insgesamt,2017,201708,30.0
48,Alkoholunfälle,insgesamt,2017,201709,47.0
49,Alkoholunfälle,insgesamt,2017,201710,32.0
50,Alkoholunfälle,insgesamt,2017,201711,33.0
51,Alkoholunfälle,insgesamt,2017,201712,42.0
52,Alkoholunfälle,insgesamt,2016,Summe,301.0
53,Alkoholunfälle,insgesamt,2016,201601,21.0
54,Alkoholunfälle,insgesamt,2016,201602,10.0
55,Alkoholunfälle,insgesamt,2016,201603,20.0
56,Alkoholunfälle,insgesamt,2016,201604,27.0
57,Alkoholunfälle,insgesamt,2016,201605,25.0
58,Alkoholunfälle,insgesamt,2016,201606,30.0
59,Alkoholunfälle,insgesamt,2016,201607,35.0
60,Alkoholunfälle,insgesamt,2016,201608,34.0
61,Alkoholunfälle,insgesamt,2016,201609,29.0
62,Alkoholunfälle,insgesamt,2016,201610,30.0
63,Alkoholunfälle,insgesamt,2016,201611,20.0
64,Alkoholunfälle,insgesamt,2016,201612,20.0
65,Alkoholunfälle,insgesamt,2015,Summe,411.0
66,Alkoholunfälle,insgesamt,2015,201501,22.0
67,Alkoholunfälle,insgesamt,2015,201502,23.0
68,Alkoholunfälle,insgesamt,2015,201503,23.0
69,Alkoholunfälle,insgesamt,2015,201504,29.0
70,Alkoholunfälle,insgesamt,2015,201505,50.0
71,Alkoholunfälle,insgesamt,2015,201506,39.0
72,Alkoholunfälle,insgesamt,2015,201507,49.0
73,Alkoholunfälle,insgesamt,2015,201508,49.0
74,Alkoholunfälle,insgesamt,2015,201509,45.0
75,Alkoholunfälle,insgesamt,2015,201510,25.0
76,Alkoholunfälle,insgesamt,2015,201511,30.0
77,Alkoholunfälle,insgesamt,2015,201512,27.0
78,Alkoholunfälle,insgesamt,2014,Summe,382.0
79,Alkoholunfälle,insgesamt,2014,201401,21.0
80,Alkoholunfälle,insgesamt,2014,201402,17.0
81,Alkoholunfälle,insgesamt,2014,201403,37.0
82,Alkoholunfälle,insgesamt,2014,201404,35.0
83,Alkoholunfälle,insgesamt,2014,201405,28.0
84,Alkoholunfälle,insgesamt,2014,201406,31.0
85,Alkoholunfälle,insgesamt,2014,201407,35.0
86,Alkoholunfälle,insgesamt,2014,201408,32.0
87,Alkoholunfälle,insgesamt,2014,201409,43.0
88,Alkoholunfälle,insgesamt,2014,201410,36.0
89,Alkoholunfälle,insgesamt,2014,201411,42.0
90,Alkoholunfälle,insgesamt,2014,201412,25.0
91,Alkoholunfälle,insgesamt,2013,Summe,377.0
92,Alkoholunfälle,insgesamt,2013,201301,17.0
93,Alkoholunfälle,insgesamt,2013,201302,15.0
94,Alkoholunfälle,insgesamt,2013,201303,21.0
95,Alkoholunfälle,insgesamt,2013,201304,28.0
96,Alkoholunfälle,insgesamt,2013,201305,33.0
97,Alkoholunfälle,insgesamt,2013,201306,37.0
98,Alkoholunfälle,insgesamt,2013,201307,42.0
99,Alkoholunfälle,insgesamt,2013,201308,39.0
100,Alkoholunfälle,insgesamt,2013,201309,47.0
101,Alkoholunfälle,insgesamt,2013,201310,31.0
102,Alkoholunfälle,insgesamt,2013,201311,35.0
103,Alkoholunfälle,insgesamt,2013,201312,32.0
104,Alkoholunfälle,insgesamt,2012,Summe,440.0
105,Alkoholunfälle,insgesamt,2012,201201,21.0
106,Alkoholunfälle,insgesamt,2012,201202,18.0
107,Alkoholunfälle,insgesamt,2012,201203,21.0
108,Alkoholunfälle,insgesamt,2012,201204,34.0
109,Alkoholunfälle,insgesamt,2012,201205,54.0
110,Alkoholunfälle,insgesamt,2012,201206,43.0
111,Alkoholunfälle,insgesamt,2012,201207,56.0
112,Alkoholunfälle,insgesamt,2012,201208,55.0
113,Alkoholunfälle,insgesamt,2012,201209,49.0
114,Alkoholunfälle,insgesamt,2012,201210,32.0
115,Alkoholunfälle,insgesamt,2012,201211,30.0
116,Alkoholunfälle,insgesamt,2012,201212,27.0
117,Alkoholunfälle,insgesamt,2011,Summe,397.0
118,Alkoholunfälle,insgesamt,2011,201101,25.0
119,Alkoholunfälle,insgesamt,2011,201102,25.0
120,Alkoholunfälle,insgesamt,2011,201103,22.0
121,Alkoholunfälle,insgesamt,2011,201104,43.0
122,Alkoholunfälle,insgesamt,2011,201105,43.0
123,Alkoholunfälle,insgesamt,2011,201106,27.0
124,Alkoholunfälle,insgesamt,2011,201107,39.0
125,Alkoholunfälle,insgesamt,2011,201108,34.0
126,Alkoholunfälle,insgesamt,2011,201109,36.0
127,Alkoholunfälle,insgesamt,2011,201110,26.0
128,Alkoholunfälle,insgesamt,2011,201111,40.0
129,Alkoholunfälle,insgesamt,2011,201112,37.0
130,Alkoholunfälle,insgesamt,2010,Summe,402.0
131,Alkoholunfälle,insgesamt,2010,201001,19.0
132,Alkoholunfälle,insgesamt,2010,201002,23.0
133,Alkoholunfälle,insgesamt,2010,201003,31.0
134,Alkoholunfälle,insgesamt,2010,201004,33.0
135,Alkoholunfälle,insgesamt,2010,201005,34.0
136,Alkoholunfälle,insgesamt,2010,201006,39.0
137,Alkoholunfälle,insgesamt,2010,201007,48.0
138,Alkoholunfälle,insgesamt,2010,201008,40.0
139,Alkoholunfälle,insgesamt,2010,201009,54.0
140,Alkoholunfälle,insgesamt,2010,201010,27.0
141,Alkoholunfälle,insgesamt,2010,201011,28.0
142,Alkoholunfälle,insgesamt,2010,201012,26.0
143,Alkoholunfälle,insgesamt,2009,Summe,430.0
144,Alkoholunfälle,insgesamt,2009,200901,23.0
145,Alkoholunfälle,insgesamt,2009,200902,32.0
146,Alkoholunfälle,insgesamt,2009,200903,14.0
147,Alkoholunfälle,insgesamt,2009,200904,45.0
148,Alkoholunfälle,insgesamt,2009,200905,57.0
149,Alkoholunfälle,insgesamt,2009,200906,31.0
150,Alkoholunfälle,insgesamt,2009,200907,44.0
151,Alkoholunfälle,insgesamt,2009,200908,35.0
152,Alkoholunfälle,insgesamt,2009,200909,49.0
153,Alkoholunfälle,insgesamt,2009,200910,35.0
154,Alkoholunfälle,insgesamt,2009,200911,31.0
155,Alkoholunfälle,insgesamt,2009,200912,34.0
156,Alkoholunfälle,insgesamt,2008,Summe,482.0
157,Alkoholunfälle,insgesamt,2008,200801,32.0
158,Alkoholunfälle,insgesamt,2008,200802,30.0
159,Alkoholunfälle,insgesamt,2008,200803,30.0
160,Alkoholunfälle,insgesamt,2008,200804,25.0
161,Alkoholunfälle,insgesamt,2008,200805,57.0
162,Alkoholunfälle,insgesamt,2008,200806,56.0
163,Alkoholunfälle,insgesamt,2008,200807,52.0
164,Alkoholunfälle,insgesamt,2008,200808,44.0
165,Alkoholunfälle,insgesamt,2008,200809,49.0
166,Alkoholunfälle,insgesamt,2008,200810,45.0
167,Alkoholunfälle,insgesamt,2008,200811,27.0
168,Alkoholunfälle,insgesamt,2008,200812,35.0
169,Alkoholunfälle,insgesamt,2007,Summe,560.0
170,Alkoholunfälle,insgesamt,2007,200701,36.0
171,Alkoholunfälle,insgesamt,2007,200702,32.0
172,Alkoholunfälle,insgesamt,2007,200703,38.0
173,Alkoholunfälle,insgesamt,2007,200704,49.0
174,Alkoholunfälle,insgesamt,2007,200705,63.0
175,Alkoholunfälle,insgesamt,2007,200706,51.0
176,Alkoholunfälle,insgesamt,2007,200707,65.0
177,Alkoholunfälle,insgesamt,2007,200708,44.0
178,Alkoholunfälle,insgesamt,2007,200709,54.0
179,Alkoholunfälle,insgesamt,2007,200710,55.0
180,Alkoholunfälle,insgesamt,2007,200711,36.0
181,Alkoholunfälle,insgesamt,2007,200712,37.0
182,Alkoholunfälle,insgesamt,2006,Summe,599.0
183,Alkoholunfälle,insgesamt,2006,200601,44.0
184,Alkoholunfälle,insgesamt,2006,200602,50.0
185,Alkoholunfälle,insgesamt,2006,200603,40.0
186,Alkoholunfälle,insgesamt,2006,200604,40.0
187,Alkoholunfälle,insgesamt,2006,200605,53.0
188,Alkoholunfälle,insgesamt,2006,200606,51.0
189,Alkoholunfälle,insgesamt,2006,200607,64.0
190,Alkoholunfälle,insgesamt,2006,200608,48.0
191,Alkoholunfälle,insgesamt,2006,200609,64.0
192,Alkoholunfälle,insgesamt,2006,200610,45.0
193,Alkoholunfälle,insgesamt,2006,200611,48.0
